"","x"
"gene1021",3
"gene1022",3
"gene1023",3
"gene1024",3
"gene1025",3
"gene1026",3
"gene1027",3
"gene1028",3
"gene1029",3
"gene1030",3
"gene1031",3
"gene1032",3
"gene1033",3
"gene1034",3
"gene1035",3
"gene1036",3
"gene1037",3
"gene1038",3
"gene1039",3
"gene1040",3
"gene1041",3
"gene1042",3
"gene1043",3
"gene1044",3
"gene1045",3
"gene1046",3
"gene1047",3
"gene1048",3
"gene1049",3
"gene1050",3
"gene1051",3
"gene1052",3
"gene1053",3
"gene1054",3
"gene1055",3
"gene1056",3
"gene1057",3
"gene1058",3
"gene1059",3
"gene1060",3
"gene1061",3
"gene1062",3
"gene1063",3
"gene1064",3
"gene1065",3
"gene1066",3
"gene1067",3
"gene1068",3
"gene1069",3
"gene1070",3
"gene1071",3
"gene1072",3
"gene1073",3
"gene1074",3
"gene1075",3
"gene1076",3
"gene1077",3
"gene1078",3
"gene1079",3
"gene1080",3
"gene1081",3
"gene1082",3
"gene1083",3
"gene1084",3
"gene1085",3
"gene1086",3
"gene1087",3
"gene1088",3
"gene1089",3
"gene1090",3
"gene1091",3
"gene1092",3
"gene1093",3
"gene1094",3
"gene1095",3
"gene1096",3
"gene1097",3
"gene1098",3
"gene1099",3
"gene1100",3
"gene1101",3
"gene1102",3
"gene1103",3
"gene1104",3
"gene1105",3
"gene1106",3
"gene1107",3
"gene1108",3
"gene1109",3
"gene1110",3
"gene1111",3
"gene1112",3
"gene1113",3
"gene1114",3
"gene1115",3
"gene1116",3
"gene1117",3
"gene1118",3
"gene1119",3
"gene1120",3
"gene1121",3
"gene1122",3
"gene1123",3
"gene1124",3
"gene1125",3
"gene1126",3
"gene1127",3
"gene1128",3
"gene1129",3
"gene1130",3
"gene1131",3
"gene1132",3
"gene1133",3
"gene1134",3
"gene1135",3
"gene1136",3
"gene1137",3
"gene1138",3
"gene1139",3
"gene1140",3
"gene1141",3
"gene1142",3
"gene1143",3
"gene1144",3
"gene1145",3
"gene1146",3
"gene1147",3
"gene1148",3
"gene1149",3
"gene1150",3
"gene1151",3
"gene1152",3
"gene1153",3
"gene1154",3
"gene1155",3
"gene1156",3
"gene1157",3
"gene1158",3
"gene1159",3
"gene1160",3
"gene1161",3
"gene1162",3
"gene1163",3
"gene1164",3
"gene1165",3
"gene1166",3
"gene1167",3
"gene1168",3
"gene1169",3
"gene1170",3
"gene1171",3
"gene1172",3
"gene1173",3
"gene1174",3
"gene1175",3
"gene1176",3
"gene1177",3
"gene1178",3
"gene1179",3
"gene1180",3
"gene1181",3
"gene1182",3
"gene1183",3
"gene1184",3
"gene1185",3
"gene1186",3
"gene1187",3
"gene1188",3
"gene1189",3
"gene1190",3
"gene1191",3
"gene1192",3
"gene1193",3
"gene1194",3
"gene1195",3
"gene1196",3
"gene1197",3
"gene1198",3
"gene1199",3
"gene1200",3
"gene1201",3
"gene1202",3
"gene1203",3
"gene1204",3
"gene1205",3
"gene1206",3
"gene1207",3
"gene1208",3
"gene1209",3
"gene1210",3
"gene1211",3
"gene1212",3
"gene1213",3
"gene1214",3
"gene1215",3
"gene1216",3
"gene1217",3
"gene1218",3
"gene1219",3
"gene1220",3
"gene1221",3
"gene1222",3
"gene1223",3
"gene1224",3
"gene1225",3
"gene1226",3
"gene1227",3
"gene1228",3
"gene1229",3
"gene1230",3
"gene1231",3
"gene1232",3
"gene1233",3
"gene1234",3
"gene1235",3
"gene1236",3
"gene1237",3
"gene1238",3
"gene1239",3
"gene1240",3
"gene1241",3
"gene1242",3
"gene1243",3
"gene1244",3
"gene1245",3
"gene1246",3
"gene1247",3
"gene1248",3
"gene1249",3
"gene1250",3
"gene1251",3
"gene1252",3
"gene1253",3
"gene1254",3
"gene1255",3
"gene1256",3
"gene1257",3
"gene1258",3
"gene1259",3
"gene1260",3
"gene1261",3
"gene1262",3
"gene1263",3
"gene1264",3
"gene1265",3
"gene1266",3
"gene1267",3
"gene1268",3
"gene1269",3
"gene1270",3
"gene1271",3
"gene1272",3
"gene1273",3
"gene1274",3
"gene1275",3
"gene1276",3
"gene1277",3
"gene1278",3
"gene1279",3
"gene1280",3
"gene1281",3
"gene1282",3
"gene1283",3
"gene1284",3
"gene1285",3
"gene1286",3
