"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"gene1809",0.481962688078275,1,0.136193467044982,1,0.0836537446855162,1,0.0762460618187135,0.991627635330421,0.0465157537165415,0.8721763372232,0.973307561607394
"gene1810",0.00214408335258709,1,0.000327938181152065,1,0.000371084631656915,1,0.000769307535266384,0.999999967685975,0.00265614190197505,0.954941244464159,0.00133958033733195
"gene1811",0.315159903060811,1,0.261799749669634,1,0.512194100998069,0.999981798385653,0.63022749715332,0.999982163422607,0.682944742418299,0.943081718049563,0.975994939641057
"gene1812",0.0190617393528388,1,0.0054007929429023,1,0.0308154367740192,1,0.187036351885137,0.998302199221155,0.293100675482982,1,0.985961537773967
"gene1813",0.211521181046177,1,0.0567600087463029,1,0.0372359451505385,1,0.0475597751884165,0.962490373540847,0.0497157706987414,0.266445132134871,0.957628216515528
"gene1814",4.65856649821683e-05,1,2.55418470507252e-06,1,9.94802492226832e-06,1,0.0003649295364615,1,0.0260632268562597,0.9455461895525,1.93849863197038e-05
"gene1815",0.305715183259883,1,0.332311838873163,1,0.810642945828977,1,0.925657044376842,0.978499327222349,0.966830172270702,0.562623891295838,0.974468286542441
"gene1816",0.00321421485579598,1,0.000214967269215549,1,7.45343212537053e-05,1,0.00123742665423043,0.999999047080531,0.0211089836762177,0.983005950409942,0.0005325833251979
"gene1817",0.00228945956551407,1,0.000146060963448713,1,0.000342004101304916,1,0.00167789204971935,0.997860009430859,0.00860710007246657,0.908323271280142,0.000986042568273504
"gene1818",0.00023337002501167,1,9.66975802940695e-06,1,9.13812188363394e-07,0.994955545793018,1.60987759278974e-06,1,1.31455344902776e-05,1,5.26688457291868e-06
"gene1819",0.468173148300956,1,0.0879418978195927,1,0.0933115341219243,1,0.0762998694933146,0.95173887731631,0.0953700345798161,0.844644657146098,0.964628989160894
"gene1820",0.00488994177025315,1,0.000263130589508997,1,0.000514484096918233,0.97545533219003,0.00894856348376583,0.496943707220476,0.0579124271609254,1,0.00174310363096608
"gene1821",0.628201874511448,1,0.236382346561942,1,0.281565029728992,1,0.215669753132577,0.544723879222762,0.156524670000632,0.9176838052372,0.966543591827058
"gene1822",0.00887160513118868,1,0.00133391763777357,1,0.001414599162741,1,0.00270713105639164,0.958611589888865,0.00899543849556905,0.678478634368184,0.00580018841136953
"gene1823",1.051918887085e-05,1,1.55109994515179e-07,1,1.32141950914821e-06,1,0.000203310748391861,1,0.0309825850504281,0.966410398715664,1.36922803939399e-06
"gene1824",5.67807048938995e-05,1,9.33695838423176e-08,1,1.00788741708158e-06,0.998919547367849,0.000255104041886445,0.992756238665025,0.00826994227011801,0.992514901863439,8.5305630559418e-07
"gene1825",0.0428542858480172,1,0.0378297468503526,1,0.129163271389615,0.999999891726489,0.40879032574792,0.999930783211857,0.858766870960491,0.372799991479721,0.971293619798447
"gene1826",0.656547968091495,1,0.791419160758471,1,0.764227749471996,1,0.693962765441683,0.994005783814405,0.852932293275294,0.555159045851486,0.97940880211536
"gene1827",4.0542749769612e-05,1,3.34753167963164e-06,1,4.76433276426214e-05,0.968567593915357,0.00377047129252828,0.69963953792054,0.0623242591000197,0.994687929535369,2.90494091448323e-05
"gene1828",0.465703324952938,1,0.765601753340012,1,0.856250861834719,1,0.812459015964934,0.978613780636789,0.898885847537265,0.940674192299972,0.974223955036595
"gene1829",0.0854287717303343,1,0.00175954389581889,1,0.000338822416871998,1,0.00340874767635602,0.999999970098002,0.10858071305305,0.969276752384998,0.00294020254467209
"gene1830",0.0448925534189311,1,0.0822040526319893,1,0.138487111511847,1,0.237780135516912,0.904598826748073,0.372674787011543,0.944822820773924,0.964747630459969
"gene1831",3.95925316934997e-05,1,2.41770781228556e-06,1,1.76020432884894e-06,1,4.56961067624162e-05,1,0.00195983556496093,1,9.71928594539762e-06
"gene1832",0.00309814772542938,1,1.3957588271718e-05,1,1.21742846127537e-05,1,0.00133397802409374,0.981044344156923,0.124064403563745,0.561080711080835,6.4719553908521e-05
"gene1833",0.0111282375438229,1,8.00534269870257e-05,1,1.42721239082544e-05,0.999244597506267,0.000722926087903808,0.99999997140686,0.0172096671303632,1,0.000119632075833875
"gene1834",0.00555265163089258,1,0.00415137610071992,1,0.0121814433839514,1,0.009526768147883,0.99998618488644,0.0114357135495117,0.267088635120385,0.0334007597524805
"gene1835",0.127998214414784,1,0.103247234001214,1,0.408153198933048,1,0.580538093686992,0.981416664139672,0.43214537820551,0.255840763208033,0.970066888560573
"gene1836",0.00477559657003945,1,2.39874090361969e-05,1,0.000140731659586613,1,0.00656322553561872,0.886463851975055,0.0220230752142994,1,0.000204947325843752
"gene1837",0.28798134577152,1,0.323211006658116,1,0.501798479256794,0.99999976535084,0.547855376596725,0.999708060113659,0.739975278858495,0.302427364886932,0.974841197803413
